id,organizationId,cardTypeId,parentScoreCardId,score,createdBy
1,79,69,4,47,Orton
2,11,32,8,16,Tabbitha
3,14,80,83,37,Adiana
4,96,82,58,79,Kelsy
5,95,46,74,85,Xenia
6,71,42,56,42,Darya
7,70,64,2,30,Con
8,86,60,65,30,Tam
9,86,16,74,30,Inger
10,67,10,24,17,Norean
11,44,57,84,85,Tracee
12,17,68,19,3,Shae
13,15,69,33,68,Millisent
14,45,97,15,3,Emilio
15,64,10,71,72,Emile
16,21,85,39,45,Bucky
17,3,39,40,21,Homerus
18,84,47,94,33,Raynell
19,30,93,50,45,Carena
20,28,8,16,87,Brande
21,22,90,66,26,Melodie
22,40,73,49,83,Elysha
23,97,45,9,89,Silvester
24,53,92,65,89,Yorke
25,56,90,88,35,Lizette
26,64,80,38,48,Richie
27,15,53,36,17,Freeman
28,35,7,12,38,Laurella
29,89,82,87,87,Clim
30,73,20,49,4,Susy
31,8,48,29,41,Anissa
32,41,51,85,39,Valaree
33,23,16,19,90,Donielle
34,9,56,31,90,Patten
35,41,83,36,90,Phil
36,84,24,57,74,Lloyd
37,8,5,18,81,Ashlee
38,41,17,11,33,Dionisio
39,41,52,57,37,Nata
40,31,73,81,32,Angelo
41,62,21,24,5,Arline
42,65,34,29,64,Andy
43,92,96,16,60,Neala
44,24,28,57,81,Tanney
45,27,100,5,76,Abie
46,72,48,70,69,Tiertza
47,18,53,81,56,Pansie
48,53,100,11,18,Liliane
49,50,56,11,98,Dorice
50,51,86,72,18,Dita
51,37,89,50,88,Edna
52,36,83,23,84,Davin
53,9,74,23,5,Brina
54,73,34,92,90,Ham
55,55,66,82,83,Killie
56,94,79,6,15,Donalt
57,96,51,19,93,Rocky
58,51,18,21,37,Truman
59,52,71,14,77,Felicdad
60,29,11,76,17,Levy
61,3,17,21,100,Ruby
62,74,73,46,58,Judye
63,52,95,6,30,Jozef
64,15,24,71,6,Damiano
65,24,20,40,9,Dennet
66,26,48,27,21,Fania
